"","ABEV3.SA.Adjusted","AZUL4.SA.Adjusted","B3SA3.SA.Adjusted","BBAS3.SA.Adjusted","BBDC4.SA.Adjusted","BBSE3.SA.Adjusted","BPAC11.SA.Adjusted","BRDT3.SA.Adjusted","BRFS3.SA.Adjusted","BRML3.SA.Adjusted","BTOW3.SA.Adjusted","CCRO3.SA.Adjusted","CIEL3.SA.Adjusted","CMIG4.SA.Adjusted","COGN3.SA.Adjusted","CSNA3.SA.Adjusted","CYRE3.SA.Adjusted","ELET3.SA.Adjusted","EQTL3.SA.Adjusted","GGBR4.SA.Adjusted","GOAU4.SA.Adjusted","GOLL4.SA.Adjusted","IRBR3.SA.Adjusted","ITSA4.SA.Adjusted","ITUB4.SA.Adjusted","JBSS3.SA.Adjusted","KLBN11.SA.Adjusted","LAME4.SA.Adjusted","LREN3.SA.Adjusted","MGLU3.SA.Adjusted","MRFG3.SA.Adjusted","MRVE3.SA.Adjusted","MULT3.SA.Adjusted","PETR3.SA.Adjusted","PETR4.SA.Adjusted","RADL3.SA.Adjusted","RAIL3.SA.Adjusted","RENT3.SA.Adjusted","SBSP3.SA.Adjusted","SULA11.SA.Adjusted","SUZB3.SA.Adjusted","UGPA3.SA.Adjusted","USIM5.SA.Adjusted","VALE3.SA.Adjusted","VVAR3.SA.Adjusted","WEGE3.SA.Adjusted","YDUQ3.SA.Adjusted"
"240",15.005881,32.369999,24.606596,39.64156,28.610811,22.37368,22.271872,20.717604,22.75,11.915125,37.708,10.786584,8.84605,11.404922,8.657331,8.238168,13.562015,20.76722,13.531438,14.745588,6.827901,24.59,25.301805,10.810834,32.204136,11.277914,15.421683,18.706312,34.232918,5.212168,5.36,9.849744,22.965134,23.39546,20.817106,11.754367,16.6,26.004181,28.113548,25.56481,36.09726,23.838062,9.44978,46.764172,4.66,16.660606,22.605646
"241",14.820745,33.5,24.550156,39.89497,28.762218,22.171047,22.271872,20.857119,22.5,11.850065,38.884201,10.621903,8.445673,11.851704,8.607916,7.962078,13.516686,20.156361,13.57766,14.161604,6.614831,25.379999,25.523415,10.801741,32.194832,11.141093,15.159821,18.637789,34.796547,5.23956,5.3,10.170114,22.906374,22.828527,20.106049,11.408708,16.629999,26.270763,28.877964,26.187439,35.921127,24.338903,9.011389,46.577152,4.58,16.806755,22.480381
"242",14.781768,35,25.152153,39.904026,28.542688,22.711393,21.910959,20.926872,22.07,11.803595,39.062099,10.612754,8.492335,11.720287,8.963696,7.846299,13.516686,19.807375,13.585362,14.317333,6.585777,24.74,25.583542,10.683541,32.04612,11.492917,15.147956,18.862797,36.373032,5.381483,5.34,10.579188,22.475471,22.847425,20.162184,11.673384,16.41,27.132723,28.802467,25.927237,37.966217,23.886221,8.97242,47.559006,4.56,16.894442,22.037134
"243",14.752536,34.889999,24.694218,40.166492,28.198923,22.626963,22.376343,21.144863,21.9,11.805336,37.5597,10.448073,8.287026,11.697262,8.499206,7.685988,13.444163,19.563051,13.714398,14.395197,6.624516,24.5,25.551908,10.547154,31.349056,11.238823,14.882201,18.647608,35.580379,5.20481,5.56,10.297311,22.406918,23.274645,20.981472,11.416608,16.209999,26.9828,29.000648,26.001574,37.91729,24.170351,8.913967,47.166264,4.3,16.612432,21.680607
"244",14.71356,34.91,24.798496,40.836235,28.853783,22.95624,22.281368,21.528522,21.629999,11.982091,39.447601,10.356584,8.119047,11.892061,8.667213,7.623646,13.634539,20.880608,13.77025,14.035074,6.527668,24.42,25.74189,10.729003,31.878826,11.043365,14.71136,18.745386,36.374397,5.123539,5.45,10.684893,23.04348,23.142084,20.971794,11.290196,16.26,27.170103,28.9629,25.852888,36.224468,24.825296,8.767837,46.287273,4.32,16.739468,22.393658
"245",14.986394,36,25.414661,42.076168,29.778345,23.293955,22.366844,22.409195,21.93,12.158844,41.5331,10.246797,8.296357,12.272809,8.766041,7.873015,14.024356,21.142393,14.359578,14.424397,6.721366,25.1,26.425802,10.983588,33.004318,11.326778,15.072025,19.273741,37.424839,5.331723,5.46,10.88749,23.807352,24.0511,21.949251,11.288222,17,27.872795,29.727316,26.577738,37.261688,25.619898,8.982162,47.689915,4.39,17.140118,22.894722
"246",15.736688,36.330002,26.34366,43.985836,31.11894,23.910286,23.649021,22.67078,22.379999,12.521657,42.501801,10.978712,8.986944,12.662499,9.141588,8.202543,14.386976,21.194765,14.426986,14.794252,6.934436,25.450001,26.375177,11.501853,34.413414,11.766559,15.480146,19.29328,38.43985,5.549253,5.65,11.134134,24.52354,25.234716,23.284786,11.199337,16.950001,28.922159,32.435802,26.496189,37.770512,26.168896,9.508233,47.774075,4.38,17.570087,23.945028
"247",15.912081,36.369999,27.490685,44.166843,31.432852,24.172014,24.627274,23.193951,21.49,12.605382,42.936699,11.33552,8.772303,12.396806,9.250298,8.30051,14.622678,27.049669,14.8295,14.696922,6.96349,25.629999,26.06485,11.60187,34.980778,11.952243,15.878778,19.23457,37.954388,5.489877,5.69,11.125324,24.700676,25.755508,23.855778,11.173661,17.440001,28.444351,34.936676,25.788992,36.155972,25.682505,9.30365,45.819725,4.31,17.970741,23.925756
"248",16.12645,36.25,26.495335,44.166843,31.18626,23.935616,25.501055,23.281149,21.450001,12.363507,41.513401,11.207435,9.472218,12.272809,9.26018,8.683474,14.495762,26.639582,15.022091,15.086245,7.13782,25,25.77352,11.565503,34.394814,12.264977,16.13504,18.990026,36.497997,5.322793,5.68,10.966767,24.19879,26.049042,23.923521,11.33365,17.200001,28.153852,35.729404,24.629196,36.76265,25.509134,9.849203,48.802681,4.27,18.175955,24.291916
"249",16.058243,35.299999,26.35314,43.877228,31.556227,23.581011,26.02342,23.41194,21.59,12.289084,39.6749,10.887221,9.388229,11.909762,9.022994,8.701287,14.414173,25.304564,15.118386,15.125177,7.186244,23.9,26.03322,11.556408,34.459908,11.834969,16.13504,19.623545,35.659508,5.405438,5.58,11.063664,23.854359,26.891781,24.300957,11.080827,16.9,27.629221,34.917797,25.025225,35.079609,24.728981,9.868688,48.540855,4.24,17.892565,23.810125
